numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
2022-5943,Inéligibilité,,2023-3-24,unique,14912,14335,2022,2022-6-12,2022-6-19,an,herault,6,2,37596,40669,93917,14914,DVD,26255,TRUE,F,NUP,11341,FALSE,F,41817,42561,93913,12005,601,DVD,19136,TRUE,F,NUP,7131,FALSE,F,ENS,6530,FALSE,F
2002-2787R,Rejet,Non,2002-12-5,unique,10361,9784,2002,2002-6-9,2002-6-16,an,alpes-maritimes,1,2,29761,31363,61563,4845,UMP,17303,FALSE,M,SOC,12458,FALSE,M,33930,34487,61562,188,1136,UMP,9015,FALSE,M,SOC,8827,FALSE,M,FRN,7691,FALSE,M
2018-5473,Inéligibilité,,2018-6-29,unique,13951,13375,2017,2017-6-11,2017-6-18,an,rhone,2,2,31931,34887,74987,1797,REM,16864,FALSE,M,DVG,15067,FALSE,F,41353,41658,74985,8716,2722,REM,16177,FALSE,M,DVG,7461,FALSE,F,FI,4739,FALSE,F
2018-5577,Inéligibilité,,2018-6-29,unique,13754,13177,2017,2017-6-11,2017-6-18,an,gironde,10,2,32067,36091,80799,11477,REM,21772,FALSE,M,FN,10295,FALSE,F,40740,41594,80807,9934,151,REM,16408,FALSE,M,FN,6474,FALSE,F,LR,6323,FALSE,M
2017-5278,Inéligibilité,,2018-7-27,unique,14128,13554,2017,2017-6-11,2017-6-18,an,val-d-oise,1,2,28396,32299,81549,2404,REM,15400,FALSE,F,LR,12996,FALSE,M,38452,39219,81547,6990,941,REM,13817,FALSE,F,LR,6827,FALSE,M,FN,5886,FALSE,F
2018-5500,Inéligibilité,,2018-9-7,unique,13726,13149,2017,2017-6-11,2017-6-18,an,finistere,8,2,35436,39920,87201,1030,REM,18233,FALSE,M,SOC,17203,FALSE,M,46251,47367,87205,7041,2416,REM,15458,FALSE,M,SOC,8417,FALSE,M,FI,6001,FALSE,M
2017-5342,Inéligibilité,,2018-9-27,unique,13980,13404,2017,2017-6-11,2017-6-18,an,haute-savoie,1,2,39136,42548,100409,11212,REM,25174,FALSE,F,LR,13962,FALSE,F,49271,50034,100268,14346,4213,REM,23631,FALSE,F,LR,9285,FALSE,F,FN,5072,FALSE,F
2017-5073,Rejet,Oui,2017-7-28,unique,13845,13268,2017,2017-6-11,2017-6-18,an,marne,5,2,33637,35645,76921,14511,UDI,24074,FALSE,M,FN,9563,FALSE,M,38742,39372,76928,8302,240,UDI,16631,FALSE,M,FN,8329,FALSE,M,REM,8089,FALSE,M
93-1617,Inéligibilité,,1993-10-20,unique,8234,7667,1993,1993-3-11,1993-3-28,an,eure-et-loir,2,2,39764,43937,62999,106,RPR,19935,FALSE,,FRN,19829,FALSE,,41999,43758,62999,3149,6930,FRN,15476,FALSE,,RPR,12327,FALSE,,MAJ,5397,FALSE,
97-2315,Inéligibilité,,1997-12-9,unique,9668,9097,1997,1997-5-25,1997-6-1,an,vaucluse,1,2,47715,49072,66041,291,SOC,20030,FALSE,F,RPR,19739,FALSE,F,43316,45343,66041,468,2349,RPR,13166,FALSE,F,SOC,12698,FALSE,F,FRN,10349,FALSE,M
63-340/344,Rejet,,1963-7-9,jonction,1420,965,1962,1962-11-18,1962-11-25,an,corse,3,2,45499,45836,62546,1355,RADCENT,23427,FALSE,,RADSOC,22072,FALSE,,39416,39583,63294,3121,12302,RADCENT,17933,FALSE,,RADSOC,14812,FALSE,,COM,2510,FALSE,
81-936,Annulation,,1981-12-3,unique,5878,5517,1981,1981-6-14,1981-6-21,an,paris,2,2,22435,23037,35631,57,SOC,11246,FALSE,,UDF,11189,TRUE,,21865,22140,35631,2902,3857,UDF,9809,TRUE,,SOC,6907,FALSE,,COM,3050,FALSE,
62-304,Rejet,,1963-2-5,unique,1661,1284,1962,1962-11-18,1962-11-25,an,seine,55,2,49388,51796,66659,1382,COM,25385,FALSE,,UNR-UDT,24003,FALSE,,49268,50218,66658,1360,12777,COM,19128,FALSE,,UNR-UDT,17768,FALSE,,CNI,4991,FALSE,
81-948/953,Annulation,,1981-12-3,jonction,5882,5527,1981,1981-6-14,1981-6-21,an,paris,12,2,25670,25975,34921,54,RPR,12862,FALSE,,SOC,12808,FALSE,,23705,23938,34921,2266,7024,RPR,11494,FALSE,,SOC,9228,FALSE,,COM,2204,FALSE,
93-1788,Inéligibilité,,1993-12-2,unique,8315,7754,1993,1993-3-11,1993-3-28,an,loire,7,2,44362,53228,82410,17838,UDF,31100,FALSE,,FRN,13262,FALSE,,53882,56964,82414,9122,177,UDF,17203,FALSE,,FRN,8081,FALSE,,DVD,7904,FALSE,
93-1924,Inéligibilité,,1993-12-17,unique,8452,7921,1993,1993-3-11,1993-3-28,an,rhone,9,2,37268,42563,67048,9906,UDF,23587,TRUE,,FRN,13681,FALSE,,43340,45372,67301,4566,1052,UDF,12751,TRUE,,FRN,8185,FALSE,,RPR,7133,FALSE,
93-1950,Inéligibilité,,1993-12-15,unique,7785,7785,1993,1993-3-11,1993-3-28,an,maine-et-loire,7,1,42882,46215,64152,17238,UDF,23645,TRUE,,SOC,6407,FALSE,,42882,46215,64152,17238,1972,UDF,23645,TRUE,,SOC,6407,FALSE,,EXG,4435,FALSE,
2007-3979,Rejet,Non,2007-11-29,unique,11736,11224,2007,2007-6-10,2007-6-17,an,rhone,3,2,37376,38208,67334,1004,SOC,19190,FALSE,M,UMP,18186,FALSE,M,39941,40235,67341,5110,5245,UMP,16241,FALSE,M,SOC,11131,FALSE,M,MODEM,5886,FALSE,M
2022-5762,Rejet,Oui,2022-8-5,unique,14959,14382,2022,2022-6-12,2022-6-19,an,loire-atlantique,2,2,48122,50337,91423,5580,NUP,26851,FALSE,M,ENS,21271,TRUE,F,50454,51307,91433,9174,9633,NUP,23524,FALSE,M,ENS,14350,TRUE,F,LR,4717,FALSE,M
93-1802,Inéligibilité,,1993-12-2,unique,8394,7852,1993,1993-3-11,1993-3-28,an,nord,23,2,44965,46668,66634,3867,UDF,19481,FALSE,,COM,15614,FALSE,,43131,45238,66631,2505,2181,UDF,13086,FALSE,,FRN,10581,FALSE,,COM,8400,FALSE,
93-1938,Inéligibilité,,1993-12-15,unique,7762,7762,1993,1993-3-11,1993-3-28,an,loire-atlantique,6,1,46692,49475,66832,15694,RPR,25429,FALSE,,SOC,9735,FALSE,,46692,49475,66832,15694,6691,RPR,25429,FALSE,,SOC,9735,FALSE,,GEC,3044,FALSE,
93-1899,Inéligibilité,,1993-12-17,unique,8503,7987,1993,1993-3-11,1993-3-28,an,seine-et-marne,6,2,33934,41984,68352,9686,RPR,21810,FALSE,,FRN,12124,FALSE,,43872,45888,68355,4015,1405,RPR,12249,FALSE,,FRN,8234,FALSE,,SOC,6829,FALSE,
93-1779,Inéligibilité,,1993-12-2,unique,7903,7903,1993,1993-3-11,1993-3-28,an,bas-rhin,7,1,48894,52407,74524,16419,UDF,26085,TRUE,,FRN,9666,FALSE,,48894,52407,74524,16419,4147,UDF,26085,TRUE,,FRN,9666,FALSE,,VEC,5519,FALSE,
93-1956,Inéligibilité,,1993-12-15,unique,8266,7702,1993,1993-3-11,1993-3-28,an,gironde,6,2,49296,52245,70998,30,UDF,24663,FALSE,,SOC,24633,FALSE,,47782,50823,71014,529,10698,UDF,16341,FALSE,,SOC,15812,FALSE,,FRN,5114,FALSE,
93-1906,Inéligibilité,,1993-12-17,unique,8594,8091,1993,1993-3-11,1993-3-28,an,val-de-marne,4,2,33011,39702,61240,11277,UDF,22144,FALSE,,FRN,10867,FALSE,,41281,43004,61240,2292,292,UDF,8314,FALSE,,FRN,6022,FALSE,,DVD,5730,FALSE,
93-1766,Inéligibilité,,1993-12-2,unique,8243,7678,1993,1993-3-11,1993-3-28,an,corse-du-sud,1,2,16939,19162,35335,5887,UDF,11413,TRUE,,DVD,5526,FALSE,,22474,23290,35354,4097,1344,UDF,8006,TRUE,,DVD,3909,FALSE,,REG,2565,FALSE,
93-1769,Inéligibilité,,1993-12-2,unique,7931,7931,1993,1993-3-11,1993-3-28,an,saone-et-loire,2,1,41757,44547,64704,15543,UDF,23233,FALSE,,SOC,7690,FALSE,,41757,44547,64704,15543,4155,UDF,23233,FALSE,,SOC,7690,FALSE,,COM,3535,FALSE,
93-1804,Inéligibilité,,1993-12-2,unique,8324,7768,1993,1993-3-11,1993-3-28,an,loiret,2,2,46096,50084,71903,11958,RPR,29027,TRUE,,SOC,17069,FALSE,,48801,51445,71904,14706,876,RPR,21967,TRUE,,SOC,7261,FALSE,,FRN,6385,FALSE,
81-952,Annulation,,1981-12-3,unique,5789,5381,1981,1981-6-14,1981-6-21,an,marne,3,2,66812,67910,88069,256,SOC,33534,FALSE,,RPR,33278,TRUE,,61627,62496,88089,11866,4354,RPR,29300,TRUE,,SOC,17434,FALSE,,COM,13080,FALSE,
81-919,Rejet,,1981-11-5,unique,5246,5246,1981,1981-6-14,1981-6-21,an,corse-du-sud,2,1,20107,20358,30349,6707,RPR,11219,TRUE,,COM,4512,FALSE,,20107,20358,30349,6707,193,RPR,11219,TRUE,,COM,4512,FALSE,,RADICAUX GAUCHE,4319,FALSE,
81-932,Rejet,,1981-12-3,unique,5554,5554,1981,1981-6-14,1981-6-21,an,seine-maritime,8,1,49635,50216,64393,6300,RPR,25092,TRUE,,SOC,18792,FALSE,,49635,50216,64393,6300,14934,RPR,25092,TRUE,,SOC,18792,FALSE,,COM,3858,FALSE,
2012-4592,Rejet,Non,2013-1-18,unique,12950,12405,2012,2012-6-10,2012-6-17,an,hauts-de-seine,6,2,40663,41640,73407,9564,DVD,20829,FALSE,M,SOC,11265,FALSE,F,43094,43852,73407,7561,168,DVD,16954,FALSE,M,DVD,9393,FALSE,M,SOC,9225,FALSE,F
96-2088,Inéligibilité,,1996-5-3,unique,8596,8093,1993,1993-3-11,1993-3-28,an,val-de-marne,6,2,43075,46063,71829,8913,RPR,25994,FALSE,,COM,17081,FALSE,,46872,48394,71829,12551,2149,RPR,20508,FALSE,,COM,7957,FALSE,,SOC,5808,FALSE,
2018-5503,Inéligibilité,,2018-7-6,unique,14078,13504,2017,2017-6-11,2017-6-18,an,yonne,2,2,29416,33703,75693,2406,UDI,15911,FALSE,M,REM,13505,FALSE,M,37314,38359,75696,2954,1021,REM,11275,FALSE,M,UDI,8321,FALSE,M,FN,7300,FALSE,F
2018-5539,Inéligibilité,,2018-9-21,unique,13919,13343,2017,2017-6-11,2017-6-18,an,puy-de-dome,2,2,39451,43464,87873,10421,SOC,24936,FALSE,F,REM,14515,FALSE,M,45970,47130,87880,1195,5311,REM,13731,FALSE,M,SOC,12536,FALSE,F,FI,7225,FALSE,M
81-923,Rejet,,1981-9-9,unique,5880,5525,1981,1981-6-14,1981-6-21,an,paris,10,2,33400,33854,46523,1746,SOC,17573,FALSE,,RPR,15827,TRUE,,31417,31713,46523,1889,7457,RPR,13532,TRUE,,SOC,11643,FALSE,,COM,4186,FALSE,
81-949,Rejet,,1981-11-19,unique,5966,5646,1981,1981-6-14,1981-6-21,an,val-d-oise,4,2,80615,81708,108080,271,SOC,40443,FALSE,,UDF,40172,TRUE,,75700,76386,108111,9978,16220,UDF,35764,TRUE,,SOC,25786,FALSE,,COM,9566,FALSE,
93-1846,Inéligibilité,,1993-12-17,unique,8188,7616,1993,1993-3-11,1993-3-28,an,calvados,4,2,36625,43417,69225,19515,UDF,28070,FALSE,,FRN,8555,FALSE,,45437,47875,69234,14973,86,UDF,19816,FALSE,,FRN,4843,FALSE,,SOC,4757,FALSE,
2017-5320,Inéligibilité,,2018-5-4,unique,13685,13108,2017,2017-6-11,2017-6-18,an,haute-corse,2,2,33727,35851,65966,8877,REG,21302,FALSE,M,REM,12425,FALSE,M,35083,35755,65988,4572,3275,REG,12785,FALSE,M,REM,8213,FALSE,M,LR,4938,FALSE,F
2018-5423,Inéligibilité,,2018-6-1,unique,14160,13586,2017,2017-6-11,2017-6-18,an,polynesie-francaise,2,2,28486,30021,66706,8078,DVD,18282,FALSE,F,DVD,10204,FALSE,F,26819,27366,66705,3632,1809,DVD,10085,FALSE,F,DVD,6453,FALSE,F,REG,4644,FALSE,F
2017-5273,Inéligibilité,,2018-7-27,unique,14153,13579,2017,2017-6-11,2017-6-18,an,la-reunion,6,2,23596,27162,75862,1234,LR,12415,FALSE,F,REM,11181,FALSE,F,21021,23024,75861,1255,2231,REM,5770,FALSE,F,LR,4515,FALSE,F,DVG,2284,FALSE,M
2018-5535,Inéligibilité,,2018-9-7,unique,14014,13439,2017,2017-6-11,2017-6-18,an,seine-et-marne,2,2,32448,35363,79727,2654,LR,17551,FALSE,F,REM,14897,FALSE,F,39448,40071,79744,2626,5203,REM,13849,FALSE,F,LR,11223,FALSE,F,FN,6020,FALSE,F
2012-4579,Rejet,Oui,2012-7-13,unique,12711,12156,2012,2012-6-10,2012-6-17,an,meurthe-et-moselle,1,2,44474,45570,80687,1984,SOC,23229,FALSE,F,PRV,21245,FALSE,M,44692,45190,80689,1572,9952,SOC,16953,FALSE,F,PRV,15381,FALSE,M,FRN,5429,FALSE,F
2017-5334,Inéligibilité,,2018-5-4,unique,13818,13241,2017,2017-6-11,2017-6-18,an,loiret,1,2,30760,34326,75649,9242,REM,20001,FALSE,F,LR,10759,FALSE,M,38976,39689,75652,10220,3362,REM,17409,FALSE,F,LR,7189,FALSE,M,FN,3827,FALSE,F
2017-5392,Inéligibilité,,2018-5-4,unique,13904,13328,2017,2017-6-11,2017-6-18,an,orne,2,2,29568,32229,67447,2796,LR,16182,FALSE,F,REM,13386,FALSE,F,34615,35385,67459,28,5009,REM,10727,FALSE,F,LR,10699,FALSE,F,FN,5690,FALSE,F
2017-5308,Inéligibilité,,2018-6-22,unique,14155,13581,2017,2017-6-11,2017-6-18,an,mayotte,1,2,15930,17276,37956,54,SOC,7992,FALSE,F,LR,7938,FALSE,M,14228,16067,37997,12,161,SOC,2396,FALSE,F,LR,2384,FALSE,M,DVG,2223,FALSE,M
2017-5310,Inéligibilité,,2018-6-22,unique,14155,13581,2017,2017-6-11,2017-6-18,an,mayotte,1,2,15930,17276,37956,54,SOC,7992,FALSE,F,LR,7938,FALSE,M,14228,16067,37997,12,161,SOC,2396,FALSE,F,LR,2384,FALSE,M,DVG,2223,FALSE,M
2018-5476,Inéligibilité,,2018-6-29,unique,13833,13256,2017,2017-6-11,2017-6-18,an,maine-et-loire,4,2,28948,32562,74274,4766,REM,16857,FALSE,F,UDI,12091,FALSE,M,37988,38933,74275,7559,2193,REM,14496,FALSE,F,UDI,6937,FALSE,M,FN,4744,FALSE,M
2017-5357,Inéligibilité,,2018-7-6,unique,14002,13427,2017,2017-6-11,2017-6-18,an,paris,18,2,24163,28706,67245,1745,LR,12954,FALSE,M,SOC,11209,FALSE,F,36631,37371,67245,4222,1332,LR,11634,FALSE,M,SOC,7412,FALSE,F,FI,6080,FALSE,M
2018-5557,Inéligibilité,,2018-7-27,unique,13602,13025,2017,2017-6-11,2017-6-18,an,ain,1,2,32678,35728,82673,2450,LR,17564,FALSE,M,MDM,15114,FALSE,M,39931,40631,82694,2841,4519,MDM,13534,FALSE,M,LR,10693,FALSE,M,FN,6174,FALSE,M
2018-5576,Inéligibilité,,2018-7-27,unique,13617,13040,2017,2017-6-11,2017-6-18,an,hautes-alpes,1,2,20979,25134,57743,3323,REM,12151,FALSE,F,LR,8828,FALSE,F,28994,29769,57757,5174,146,REM,9258,FALSE,F,LR,4084,FALSE,F,FN,3938,FALSE,M
2018-5524,Inéligibilité,,2018-9-14,unique,14049,13475,2017,2017-6-11,2017-6-18,an,var,2,2,32012,35114,90541,4656,REM,18334,FALSE,F,FN,13678,FALSE,F,39916,40710,90542,4105,1672,REM,13455,FALSE,F,FN,9350,FALSE,F,LR,7678,FALSE,M
93-1866,Non lieu à prononcer l'inéligibilité,,1993-12-14,unique,8505,7989,1993,1993-3-11,1993-3-28,an,seine-et-marne,8,2,47826,51090,77169,2766,UDF,25296,FALSE,,SOC,22530,FALSE,,47952,50176,77169,2376,2570,UDF,12153,FALSE,,SOC,9777,FALSE,,FRN,7207,FALSE,
97-2472,Inéligibilité,,1998-1-23,unique,9611,9040,1997,1997-5-25,1997-6-1,an,paris,21,2,42629,44501,66049,3977,SOC,23303,FALSE,F,UDF,19326,TRUE,M,40086,41355,66049,818,5657,UDF,11827,TRUE,M,SOC,11009,FALSE,F,FRN,5352,FALSE,F
2017-5389,Inéligibilité,,2018-5-4,unique,13675,13098,2017,2017-6-11,2017-6-18,an,charente-maritime,4,2,35229,39719,89894,911,REM,18070,FALSE,M,LR,17159,FALSE,M,44476,45613,89895,5183,2316,REM,15055,FALSE,M,LR,9872,FALSE,M,FN,7556,FALSE,F
93-1328/1487,Annulation - Inéligibilité,,1993-12-9,jonction,8307,7745,1993,1993-3-11,1993-3-28,an,loir-et-cher,1,2,59881,63005,82012,1699,SOC,30790,TRUE,,UDF,29091,FALSE,,58158,60974,82015,307,13649,UDF,20298,FALSE,,SOC,19991,TRUE,,FRN,6342,FALSE,
93-1185/1256/1261,Rejet,,1993-10-20,jonction,8593,8090,1993,1993-3-11,1993-3-28,an,val-de-marne,3,2,40216,43383,63069,94,RDG,20155,FALSE,,RPR,20061,FALSE,,41622,43240,63070,190,327,RDG,7856,FALSE,,RPR,7666,FALSE,,UDF,7339,FALSE,
93-1374/1494,Rejet,,1993-11-24,jonction,8238,7671,1993,1993-3-11,1993-3-28,an,finistere,2,2,44937,47211,70899,2677,RPR,23807,FALSE,,SOC,21130,TRUE,,44674,46494,70897,2313,2962,RPR,12987,FALSE,,SOC,10674,TRUE,,UDF,7712,FALSE,
97-2391,Inéligibilité,,1998-3-12,unique,9614,9043,1997,1997-5-25,1997-6-1,an,seine-maritime,3,2,20299,28981,55034,,SOC,20299,FALSE,M,,,,,36117,37616,55034,1177,3594,SOC,10782,FALSE,M,COM,9605,TRUE,M,FRN,6011,FALSE,M
93-1231,Rejet,,1993-9-22,unique,8387,7845,1993,1993-3-11,1993-3-28,an,nord,16,2,50942,54750,76575,10748,COM,30845,TRUE,,DVD,20097,FALSE,,51255,54501,76575,10095,1302,COM,19088,TRUE,,DVD,8993,FALSE,,SOC,7691,FALSE,
93-1311,Rejet,,1993-11-16,unique,8448,7915,1993,1993-3-11,1993-3-28,an,rhone,3,2,28523,33541,57190,1559,DVD,15041,FALSE,,UDF,13482,FALSE,,36245,37649,57190,1654,1557,UDF,9459,FALSE,,DVD,7805,FALSE,,FRN,6248,FALSE,
2002-2619,Rejet,Oui,2002-7-25,unique,10420,9848,2002,2002-6-9,2002-6-16,an,correze,3,2,37090,38659,52525,5042,UMP,21066,TRUE,M,SOC,16024,FALSE,F,38849,39977,52536,8002,8852,UMP,19170,TRUE,M,SOC,11168,FALSE,F,COM,2316,FALSE,M
2012-4603,Rejet,Non,2012-11-29,unique,12665,12104,2012,2012-6-10,2012-6-17,an,loir-et-cher,3,2,49697,51252,82398,7997,NouvC,28847,FALSE,M,SOC,20850,FALSE,F,51717,52618,82404,7127,8565,NouvC,22458,FALSE,M,SOC,15331,FALSE,F,FRN,6766,FALSE,M
2012-4647,Rejet,Non,2012-12-14,unique,12830,12281,2012,2012-6-10,2012-6-17,an,sarthe,5,2,51003,52783,87454,161,UMP,25581,FALSE,M,SOC,25420,FALSE,M,51698,52617,87469,532,14209,UMP,20491,FALSE,M,SOC,19959,FALSE,M,FRN,5750,FALSE,F
2012-4620,Rejet,Non,2012-10-18,unique,12534,11961,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,12,2,50324,51000,89006,373,SOC,18754,FALSE,M,UMP,18381,TRUE,M,49697,50365,89006,371,340,UMP,13968,TRUE,M,SOC,13597,FALSE,M,FRN,13257,FALSE,M
2017-5318,Inéligibilité,,2018-9-7,unique,14089,13515,2017,2017-6-11,2017-6-18,an,essonne,8,2,33324,35832,76458,1364,DLF,17344,FALSE,M,REM,15980,FALSE,M,37915,38565,76464,2277,6770,REM,13558,FALSE,M,DLF,11281,FALSE,M,FI,4511,FALSE,M
2017-5382,Inéligibilité,,2018-9-7,unique,14111,13537,2017,2017-6-11,2017-6-18,an,seine-saint-denis,7,2,28058,30181,76062,4434,FI,16246,FALSE,M,REM,11812,FALSE,F,33458,34072,76062,1038,3863,REM,8264,FALSE,F,FI,7226,FALSE,M,COM,3363,FALSE,M
2018-5468,Inéligibilité,,2018-9-7,unique,13962,13386,2017,2017-6-11,2017-6-18,an,rhone,13,2,30833,33450,84804,1449,REM,16141,FALSE,F,LR,14692,FALSE,M,38932,39360,84804,5134,2504,REM,13234,FALSE,F,LR,8100,FALSE,M,FN,5596,FALSE,F
2017-5324,Inéligibilité,,2018-9-14,unique,14164,13591,2017,2017-6-11,2017-6-18,an,francais-etablis-hors-de-france,1,2,24645,26157,200179,14655,REM,19650,FALSE,M,LR,4995,FALSE,M,36997,37309,200205,15909,2044,REM,21286,FALSE,M,LR,5377,FALSE,M,FI,3333,FALSE,F
2018-5584,Inéligibilité,,2018-9-27,unique,14070,13496,2017,2017-6-11,2017-6-18,an,haute-vienne,1,2,35908,40470,84743,4022,REM,19965,FALSE,F,FI,15943,FALSE,F,44752,46135,84726,9292,1137,REM,16344,FALSE,F,FI,7052,FALSE,F,LR,5915,FALSE,F
2017-5309,Inéligibilité,,2018-6-29,unique,14155,13581,2017,2017-6-11,2017-6-18,an,mayotte,1,2,15930,17276,37956,54,SOC,7992,FALSE,F,LR,7938,FALSE,M,14228,16067,37997,12,161,SOC,2396,FALSE,F,LR,2384,FALSE,M,DVG,2223,FALSE,M
2018-5459,Inéligibilité,,2018-6-29,unique,13727,13150,2017,2017-6-11,2017-6-18,an,gard,1,2,31835,35012,86941,2895,REM,17365,FALSE,F,FN,14470,FALSE,M,37110,38000,86943,126,4961,REM,10549,FALSE,F,FN,10423,FALSE,M,UDI,5462,FALSE,M
2012-4621,Rejet,Oui,2012-7-20,unique,12876,12329,2012,2012-6-10,2012-6-17,an,seine-et-marne,10,2,38082,39126,78330,8150,SOC,23116,FALSE,M,UMP,14966,FALSE,F,39877,40380,78331,6711,4973,SOC,16844,FALSE,M,UMP,10133,FALSE,F,FRN,5160,FALSE,F
2012-4589,Rejet,Non,2012-12-7,unique,12715,12160,2012,2012-6-10,2012-6-17,an,meurthe-et-moselle,5,2,45128,47046,76718,5116,SOC,25122,FALSE,M,UMP,20006,FALSE,F,45955,46718,76628,2279,8218,SOC,18056,FALSE,M,UMP,15777,FALSE,F,FRN,7559,FALSE,M
93-1477,Inéligibilité,,1993-9-22,unique,8121,8121,1993,1993-3-11,1993-3-28,an,la-reunion,3,1,49118,52216,81420,13107,DVD,27658,TRUE,,COM,14551,FALSE,,49118,52216,81420,13107,11329,DVD,27658,TRUE,,COM,14551,FALSE,,SOC,3222,FALSE,
93-1890,Inéligibilité,,1993-12-17,unique,8136,7561,1993,1993-3-11,1993-3-28,an,aisne,4,2,50673,54194,77684,983,UDF,25828,FALSE,,SOC,24845,TRUE,,49300,52245,77679,2349,4864,UDF,14853,FALSE,,SOC,12504,TRUE,,FRN,7640,FALSE,
97-2322,Inéligibilité,,1998-2-20,unique,9397,8822,1997,1997-5-25,1997-6-1,an,loire,4,2,47059,48592,68530,1359,COM,19900,FALSE,M,UDF,18541,TRUE,M,42867,45066,68530,1566,1344,UDF,12017,TRUE,M,FRN,10451,FALSE,M,COM,9107,FALSE,M
2001-2608,Inéligibilité,,2001-11-22,unique,9226,8649,1997,1997-5-25,1997-6-1,an,alpes-maritimes,8,2,36256,39849,58977,10206,UDF,23231,TRUE,F,FRN,13025,FALSE,M,36748,38101,59077,836,4885,FRN,10153,FALSE,M,UDF,9317,TRUE,F,DVD,4432,FALSE,M
93-1961,Inéligibilité,,1993-12-15,unique,8592,8089,1993,1993-3-11,1993-3-28,an,val-de-marne,2,2,36374,38810,60451,4956,SOC,20665,TRUE,,RPR,15709,FALSE,,37456,38736,60451,43,4299,SOC,9785,TRUE,,RPR,9742,FALSE,,COM,5443,FALSE,
97-2417,Inéligibilité,,1998-3-12,unique,9556,8983,1997,1997-5-25,1997-6-1,an,haut-rhin,7,2,47159,49048,66480,2477,SOC,20406,FALSE,M,RPR,17929,TRUE,M,44187,46601,66481,221,2146,SOC,12380,FALSE,M,RPR,12159,TRUE,M,FRN,10013,FALSE,M
2017-5294,Inéligibilité,,2018-5-25,unique,14001,13426,2017,2017-6-11,2017-6-18,an,paris,17,2,22401,23886,58245,319,FI,11360,FALSE,F,REM,11041,FALSE,F,26366,26878,58244,3691,1751,REM,8172,FALSE,F,FI,4481,FALSE,F,COM,2730,FALSE,M
2018-5517,Inéligibilité,,2018-7-6,unique,13800,13223,2017,2017-6-11,2017-6-18,an,loire,1,2,23065,25037,65645,23,SOC,11544,FALSE,M,REM,11521,FALSE,F,28570,29013,65647,4446,886,REM,9946,FALSE,F,SOC,5500,FALSE,M,UDI,4614,FALSE,M
2018-5602,Inéligibilité,,2018-7-13,unique,13760,13183,2017,2017-6-11,2017-6-18,an,herault,4,2,40203,46308,111989,12661,REM,26432,FALSE,M,FN,13771,FALSE,M,53017,54523,112010,7292,902,REM,16694,FALSE,M,FN,9402,FALSE,M,FI,8500,FALSE,M
2018-5526,Inéligibilité,,2018-7-27,unique,13755,13178,2017,2017-6-11,2017-6-18,an,gironde,11,2,36976,40799,92940,5194,REM,21085,FALSE,F,FN,15891,FALSE,F,43262,44508,92941,1794,5118,REM,12024,FALSE,F,FN,10230,FALSE,F,FI,5112,FALSE,F
2018-5505,Inéligibilité,,2018-9-7,unique,13853,13276,2017,2017-6-11,2017-6-18,an,meurthe-et-moselle,3,2,26553,28931,82580,1281,REM,13917,FALSE,M,FI,12636,FALSE,M,31406,32088,82309,5126,439,REM,10123,FALSE,M,FI,4997,FALSE,M,FN,4558,FALSE,F
2017-5295,Inéligibilité,,2018-9-14,unique,14001,13426,2017,2017-6-11,2017-6-18,an,paris,17,2,22401,23886,58245,319,FI,11360,FALSE,F,REM,11041,FALSE,F,26366,26878,58244,3691,1751,REM,8172,FALSE,F,FI,4481,FALSE,F,COM,2730,FALSE,M
2018-5462,Inéligibilité,,2018-9-14,unique,14074,13500,2017,2017-6-11,2017-6-18,an,vosges,2,2,27975,31828,73261,3027,LR,15501,FALSE,M,REM,12474,FALSE,F,34434,35581,73260,328,3033,LR,10044,FALSE,M,REM,9716,FALSE,F,FN,6683,FALSE,F
2018-5492,Inéligibilité,,2018-10-5,unique,14157,13583,2017,2017-6-11,2017-6-18,an,nouvelle-caledonie,1,2,30000,32363,85146,5488,DVD,17744,FALSE,M,DVD,12256,FALSE,F,27908,28895,85148,2959,396,DVD,7780,FALSE,M,DVD,4821,FALSE,F,DVD,4425,FALSE,M
2018-5509,Inéligibilité,,2018-10-5,unique,14139,13565,2017,2017-6-11,2017-6-18,an,guadeloupe,2,2,22377,24470,86978,6381,DVG,14379,FALSE,F,REM,7998,FALSE,F,20105,21649,86981,765,960,DVG,4540,FALSE,F,REM,3775,FALSE,F,LR,2815,FALSE,M
