numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
2017-5108,Rejet,Oui,2017-7-28,unique,13967,13391,2017,2017-6-11,2017-6-18,an,saone-et-loire,2,2,31590,35353,78344,658,LR,16124,FALSE,F,REM,15466,FALSE,M,38993,40067,78345,2849,4680,REM,12225,FALSE,M,LR,9376,FALSE,F,FN,4696,FALSE,M
2017-5113,Rejet,Oui,2017-7-28,unique,14135,13561,2017,2017-6-11,2017-6-18,an,val-d-oise,8,2,15580,16873,54554,4924,SOC,10252,FALSE,M,DIV,5328,FALSE,M,16871,17505,54551,4122,317,SOC,6474,FALSE,M,DIV,2352,FALSE,M,FI,2035,FALSE,F
2017-5120,Rejet,Oui,2017-7-21,unique,13623,13046,2017,2017-6-11,2017-6-18,an,alpes-maritimes,5,2,31736,34807,87900,7114,LR,19425,FALSE,F,FN,12311,FALSE,F,38285,39438,87903,2142,1756,LR,11090,FALSE,F,FN,8948,FALSE,F,DIV,7192,FALSE,M
68-554,Rejet,,1968-10-17,unique,3108,2642,1968,1968-6-23,1968-6-30,an,bouches-du-rhone,7,2,33264,34497,51531,1362,PC,17313,FALSE,,UDR-RI,15951,FALSE,,35263,35753,51530,1286,7166,COM,13402,TRUE,,UDR,12116,FALSE,,FGDS,4950,FALSE,
97-2187,Rejet,,1997-10-28,unique,9466,8893,1997,1997-5-25,1997-6-1,an,moselle,6,2,44604,46221,70380,2213,SOC,19975,FALSE,M,UDF,17762,TRUE,M,40281,42539,70380,278,3238,SOC,12399,FALSE,M,UDF,12121,TRUE,M,FRN,8883,FALSE,M
93-1396,Inéligibilité,,1993-9-22,unique,8352,7805,1993,1993-3-11,1993-3-28,an,meurthe-et-moselle,4,2,45268,50113,75457,2388,RPR,23828,FALSE,,SOC,21440,TRUE,,47029,50075,75473,5164,2554,RPR,14548,FALSE,,SOC,9384,TRUE,,FRN,6830,FALSE,
2017-5043,Rejet,Oui,2017-7-21,unique,14083,13509,2017,2017-6-11,2017-6-18,an,essonne,2,2,36303,39373,90740,6841,LR,21572,FALSE,M,MDM,14731,FALSE,F,44753,45423,90753,422,6728,LR,13793,FALSE,M,MDM,13371,FALSE,F,FN,6643,FALSE,F
2017-5020,Rejet,Oui,2017-7-21,unique,13877,13301,2017,2017-6-11,2017-6-18,an,nord,3,2,32869,36030,94004,853,REM,16861,FALSE,M,FN,16008,FALSE,F,37303,38350,94009,663,3879,FN,10040,FALSE,F,REM,9377,FALSE,M,SOC,5498,FALSE,M
2017-5011,Rejet,Oui,2017-7-28,unique,13931,13355,2017,2017-6-11,2017-6-18,an,pyrenees-orientales,1,2,25728,28856,70972,3712,REM,14720,FALSE,M,FN,11008,FALSE,M,32609,33370,70970,3748,294,REM,10354,FALSE,M,FN,6606,FALSE,M,LR,6312,FALSE,M
2017-5005,Rejet,Oui,2017-7-21,unique,14134,13560,2017,2017-6-11,2017-6-18,an,val-d-oise,7,2,23759,26153,69585,1843,REM,12801,FALSE,M,LR,10958,FALSE,M,29951,30440,69588,3511,3428,REM,10776,FALSE,M,LR,7265,FALSE,M,FI,3837,FALSE,M
2016-4956,Rejet,Oui,2016-6-23,unique,12505,11928,2012,2012-6-10,2012-6-17,an,alpes-maritimes,5,2,44187,46119,85420,11871,UMP,28039,TRUE,M,SOC,16168,FALSE,M,49321,49925,85420,9395,1860,UMP,21814,TRUE,M,SOC,12419,FALSE,M,FRN,10559,FALSE,F
